"AcceptedTaxonID","Distribution","StandardInUse","DistributionStatus"
23222,"FR","ISO2Alpha","native"
23222,"GA","ISO2Alpha","native"
23222,"GB","ISO2Alpha","native"
23222,"GD","ISO2Alpha","native"
23222,"GF","ISO2Alpha","native"
23222,"GH","ISO2Alpha","native"
23222,"GM","ISO2Alpha","native"
23222,"GN","ISO2Alpha","native"
23222,"GP","ISO2Alpha","native"
23222,"GQ","ISO2Alpha","native"
23222,"GR","ISO2Alpha","native"
23222,"GT","ISO2Alpha","native"
23222,"GU","ISO2Alpha","native"
23222,"GW","ISO2Alpha","native"
23222,"GY","ISO2Alpha","native"
23222,"HK","ISO2Alpha","native"
23222,"HN","ISO2Alpha","native"
23222,"HR","ISO2Alpha","native"
23222,"HT","ISO2Alpha","native"
23222,"ID","ISO2Alpha","native"
23222,"IE","ISO2Alpha","native"
23222,"IL","ISO2Alpha","native"
23222,"IM","ISO2Alpha","native"
23222,"IN","ISO2Alpha","native"
23222,"IR","ISO2Alpha","native"
23222,"IT","ISO2Alpha","native"
23222,"JM","ISO2Alpha","native"
23222,"JP","ISO2Alpha","native"
23222,"KE","ISO2Alpha","native"
23222,"KH","ISO2Alpha","native"
23222,"KI","ISO2Alpha","native"
23222,"KM","ISO2Alpha","native"
23222,"KN","ISO2Alpha","native"
23222,"KR","ISO2Alpha","native"
23222,"KY","ISO2Alpha","native"
23222,"LB","ISO2Alpha","native"
23222,"LC","ISO2Alpha","native"
23222,"LK","ISO2Alpha","native"
23222,"LR","ISO2Alpha","native"
23222,"LY","ISO2Alpha","native"
23222,"MA","ISO2Alpha","native"
23222,"MC","ISO2Alpha","native"
23222,"MG","ISO2Alpha","native"
23222,"MH","ISO2Alpha","native"
23222,"MM","ISO2Alpha","native"
23222,"MO","ISO2Alpha","native"
23222,"MP","ISO2Alpha","native"
23222,"MQ","ISO2Alpha","native"
23222,"MR","ISO2Alpha","native"
23222,"MS","ISO2Alpha","native"
23222,"MT","ISO2Alpha","native"
23222,"MU","ISO2Alpha","native"
23222,"MV","ISO2Alpha","native"
23222,"MX","ISO2Alpha","native"
23222,"MY","ISO2Alpha","native"
23222,"MZ","ISO2Alpha","native"
23222,"NA","ISO2Alpha","native"
23222,"NC","ISO2Alpha","native"
23222,"NG","ISO2Alpha","native"
23222,"NI","ISO2Alpha","native"
23222,"NO","ISO2Alpha","native"
23222,"NR","ISO2Alpha","native"
23222,"NU","ISO2Alpha","native"
23222,"NZ","ISO2Alpha","native"
23222,"OM","ISO2Alpha","native"
23222,"PA","ISO2Alpha","native"
23222,"PE","ISO2Alpha","native"
23222,"PF","ISO2Alpha","native"
23222,"PG","ISO2Alpha","native"
23222,"PH","ISO2Alpha","native"
23222,"PK","ISO2Alpha","native"
23222,"PN","ISO2Alpha","native"
23222,"PR","ISO2Alpha","native"
23222,"PT","ISO2Alpha","native"
23222,"PW","ISO2Alpha","native"
23222,"RE","ISO2Alpha","native"
23222,"SB","ISO2Alpha","native"
23222,"SC","ISO2Alpha","native"
23222,"SE","ISO2Alpha","native"
23222,"SG","ISO2Alpha","native"
23222,"SH","ISO2Alpha","native"
23222,"SI","ISO2Alpha","native"
23222,"SL","ISO2Alpha","native"
23222,"SN","ISO2Alpha","native"
23222,"SO","ISO2Alpha","native"
23222,"SR","ISO2Alpha","native"
23222,"ST","ISO2Alpha","native"
23222,"SV","ISO2Alpha","native"
23222,"SY","ISO2Alpha","native"
23222,"TC","ISO2Alpha","native"
23222,"TG","ISO2Alpha","native"
23222,"TH","ISO2Alpha","native"
23222,"TK","ISO2Alpha","native"
23222,"TN","ISO2Alpha","native"
23222,"TO","ISO2Alpha","native"
23222,"TR","ISO2Alpha","native"
23222,"TT","ISO2Alpha","native"
23222,"TV","ISO2Alpha","native"
23222,"TW","ISO2Alpha","native"
23222,"TZ","ISO2Alpha","native"
23222,"US","ISO2Alpha","native"
23222,"UY","ISO2Alpha","native"
23222,"VC","ISO2Alpha","native"
23222,"VE","ISO2Alpha","native"
23222,"VG","ISO2Alpha","native"
23222,"VI","ISO2Alpha","native"
23222,"VN","ISO2Alpha","native"
23222,"VU","ISO2Alpha","native"
23222,"WF","ISO2Alpha","native"
23222,"WS","ISO2Alpha","native"
23222,"YE","ISO2Alpha","native"
23222,"ZA","ISO2Alpha","native"
23551,"AG","ISO2Alpha","native"
23551,"AI","ISO2Alpha","native"
23551,"AN","ISO2Alpha","native"
23551,"AS","ISO2Alpha","native"
23551,"AU","ISO2Alpha","native"
23551,"AW","ISO2Alpha","native"
23551,"BB","ISO2Alpha","native"
23551,"BR","ISO2Alpha","native"
23551,"BS","ISO2Alpha","native"
23551,"CO","ISO2Alpha","native"
23551,"CR","ISO2Alpha","native"
23551,"CV","ISO2Alpha","native"
23551,"DM","ISO2Alpha","native"
23551,"DO","ISO2Alpha","native"
23551,"EC","ISO2Alpha","native"
23551,"GD","ISO2Alpha","native"
23551,"GF","ISO2Alpha","native"
23551,"GN","ISO2Alpha","native"
23551,"GP","ISO2Alpha","native"
23551,"GU","ISO2Alpha","native"
23551,"GY","ISO2Alpha","native"
23551,"HN","ISO2Alpha","native"
23551,"IN","ISO2Alpha","native"
23551,"JP","ISO2Alpha","native"
23551,"KN","ISO2Alpha","native"
23551,"LC","ISO2Alpha","native"
23551,"MQ","ISO2Alpha","native"
23551,"MS","ISO2Alpha","native"
23551,"MU","ISO2Alpha","native"
23551,"MV","ISO2Alpha","native"
23551,"NI","ISO2Alpha","native"
23551,"NL","ISO2Alpha","native"
23551,"NZ","ISO2Alpha","native"
23551,"PE","ISO2Alpha","native"
23551,"PG","ISO2Alpha","native"
23551,"PR","ISO2Alpha","native"
23551,"SC","ISO2Alpha","native"
23551,"SH","ISO2Alpha","native"
23551,"SR","ISO2Alpha","native"
23551,"SV","ISO2Alpha","native"
23551,"TH","ISO2Alpha","questionable"
23551,"TT","ISO2Alpha","native"
23551,"TW","ISO2Alpha","native"
23551,"VC","ISO2Alpha","native"
23551,"VE","ISO2Alpha","native"
23551,"VG","ISO2Alpha","native"
23551,"VI","ISO2Alpha","native"
23551,"VN","ISO2Alpha","native"
23551,"WS","ISO2Alpha","native"
23551,"ZA","ISO2Alpha","native"
23749,"AL","ISO2Alpha","native"
23749,"AU","ISO2Alpha","native"
23749,"BA","ISO2Alpha","native"
23749,"BM","ISO2Alpha","native"
23749,"BR","ISO2Alpha","native"
23749,"CS","ISO2Alpha","native"
23749,"CV","ISO2Alpha","native"
23749,"CY","ISO2Alpha","native"
23749,"DZ","ISO2Alpha","native"
23749,"EG","ISO2Alpha","native"
23749,"ES","ISO2Alpha","native"
23749,"FR","ISO2Alpha","native"
23749,"GR","ISO2Alpha","native"
23749,"HK","ISO2Alpha","native"
23749,"HR","ISO2Alpha","native"
23749,"IL","ISO2Alpha","native"
23749,"IT","ISO2Alpha","native"
23749,"JP","ISO2Alpha","native"
23749,"LB","ISO2Alpha","native"
23749,"LY","ISO2Alpha","native"
23749,"MA","ISO2Alpha","native"
23749,"MC","ISO2Alpha","native"
23749,"MT","ISO2Alpha","native"
23749,"NA","ISO2Alpha","native"
23749,"NC","ISO2Alpha","native"
23749,"NF","ISO2Alpha","native"
23749,"NZ","ISO2Alpha","native"
23749,"PG","ISO2Alpha","native"
23749,"RE","ISO2Alpha","native"
23749,"SH","ISO2Alpha","native"
23749,"SI","ISO2Alpha","native"
23749,"SO","ISO2Alpha","native"
23749,"SY","ISO2Alpha","native"
23749,"TN","ISO2Alpha","native"
23749,"TR","ISO2Alpha","native"
23749,"TW","ISO2Alpha","native"
23749,"ZA","ISO2Alpha","native"
23881,"AE","ISO2Alpha","native"
23881,"AU","ISO2Alpha","native"
23881,"BH","ISO2Alpha","native"
23881,"CK","ISO2Alpha","native"
23881,"CN","ISO2Alpha","questionable"
23881,"EC","ISO2Alpha","native"
23881,"EG","ISO2Alpha","native"
23881,"ER","ISO2Alpha","native"
23881,"FM","ISO2Alpha","native"
23881,"GU","ISO2Alpha","native"
23881,"HK","ISO2Alpha","native"
23881,"IL","ISO2Alpha","native"
23881,"IN","ISO2Alpha","native"
23881,"IQ","ISO2Alpha","native"
23881,"IR","ISO2Alpha","native"
23881,"JO","ISO2Alpha","native"
23881,"JP","ISO2Alpha","native"
23881,"KR","ISO2Alpha","native"
23881,"KW","ISO2Alpha","native"
23881,"LK","ISO2Alpha","native"
23881,"MX","ISO2Alpha","native"
23881,"MY","ISO2Alpha","questionable"
23881,"NZ","ISO2Alpha","native"
23881,"OM","ISO2Alpha","native"
23881,"PF","ISO2Alpha","native"
23881,"PH","ISO2Alpha","native"
23881,"PK","ISO2Alpha","native"
23881,"PW","ISO2Alpha","native"
23881,"QA","ISO2Alpha","native"
23881,"SA","ISO2Alpha","native"
23881,"SD","ISO2Alpha","native"
23881,"SH","ISO2Alpha","native"
23881,"SO","ISO2Alpha","native"
23881,"TH","ISO2Alpha","questionable"
23881,"TO","ISO2Alpha","native"
23881,"TW","ISO2Alpha","questionable"
23881,"VN","ISO2Alpha","native"
23881,"WS","ISO2Alpha","questionable"
23881,"YE","ISO2Alpha","native"
23898,"AO","ISO2Alpha","native"
23898,"AU","ISO2Alpha","native"
23898,"AW","ISO2Alpha","native"
23898,"BR","ISO2Alpha","native"
23898,"BS","ISO2Alpha","native"
23898,"CO","ISO2Alpha","native"
23898,"CR","ISO2Alpha","native"
23898,"CU","ISO2Alpha","native"
23898,"DZ","ISO2Alpha","native"
23898,"EC","ISO2Alpha","native"
23898,"ES","ISO2Alpha","native"
23898,"FR","ISO2Alpha","native"
23898,"GM","ISO2Alpha","native"
23898,"GN","ISO2Alpha","native"
23898,"GW","ISO2Alpha","native"
23898,"GY","ISO2Alpha","native"
23898,"IN","ISO2Alpha","native"
23898,"IT","ISO2Alpha","native"
23898,"JP","ISO2Alpha","native"
23898,"KE","ISO2Alpha","native"
23898,"LK","ISO2Alpha","native"
23898,"LY","ISO2Alpha","native"
23898,"MA","ISO2Alpha","native"
23898,"MC","ISO2Alpha","native"
23898,"MG","ISO2Alpha","native"
23898,"MT","ISO2Alpha","native"
23898,"MU","ISO2Alpha","native"
23898,"MV","ISO2Alpha","native"
23898,"MX","ISO2Alpha","native"
23898,"MZ","ISO2Alpha","native"
23898,"NA","ISO2Alpha","native"
23898,"NC","ISO2Alpha","native"
23898,"NI","ISO2Alpha","native"
23898,"NZ","ISO2Alpha","native"
23898,"OM","ISO2Alpha","native"
23898,"PA","ISO2Alpha","native"
23898,"PH","ISO2Alpha","native"
23898,"PK","ISO2Alpha","native"
23898,"PT","ISO2Alpha","native"
23898,"RE","ISO2Alpha","native"
23898,"SH","ISO2Alpha","native"
23898,"SL","ISO2Alpha","native"
23898,"SN","ISO2Alpha","native"
23898,"SO","ISO2Alpha","native"
23898,"TH","ISO2Alpha","native"
23898,"TN","ISO2Alpha","native"
23898,"TR","ISO2Alpha","native"
23898,"TT","ISO2Alpha","native"
23898,"TW","ISO2Alpha","native"
23898,"US","ISO2Alpha","native"
23898,"UY","ISO2Alpha","native"
23898,"VE","ISO2Alpha","native"
23898,"VN","ISO2Alpha","native"
23898,"ZA","ISO2Alpha","native"
24787,"AU","ISO2Alpha","introduced"
24787,"CN","ISO2Alpha","native"
24787,"DE","ISO2Alpha","introduced"
24787,"HK","ISO2Alpha","native"
24787,"IN","ISO2Alpha","native"
24787,"IT","ISO2Alpha","introduced"
24787,"JP","ISO2Alpha","native"
24787,"KH","ISO2Alpha","native"
24787,"KP","ISO2Alpha","native"
24787,"KR","ISO2Alpha","native"
24787,"LA","ISO2Alpha","native"
24787,"MM","ISO2Alpha","native"
24787,"PH","ISO2Alpha","introduced"
24787,"PW","ISO2Alpha","introduced"
24787,"RU","ISO2Alpha","native"
24787,"TH","ISO2Alpha","native"
24787,"TM","ISO2Alpha","introduced"
24787,"TW","ISO2Alpha","native"
24787,"US","ISO2Alpha","introduced"
24787,"VN","ISO2Alpha","native"
26672,"AU","ISO2Alpha","native"
26672,"JP","ISO2Alpha","native"
26672,"KE","ISO2Alpha","questionable"
26672,"MU","ISO2Alpha","native"
26672,"MZ","ISO2Alpha","native"
26672,"NC","ISO2Alpha","native"
26672,"NF","ISO2Alpha","native"
26672,"PF","ISO2Alpha","native"
26672,"PH","ISO2Alpha","questionable"
26672,"PN","ISO2Alpha","native"
26672,"RE","ISO2Alpha","native"
26672,"SO","ISO2Alpha","questionable"
26672,"TO","ISO2Alpha","native"
26672,"TW","ISO2Alpha","native"
26672,"TZ","ISO2Alpha","questionable"
26672,"ZA","ISO2Alpha","native"
26673,"IN","ISO2Alpha","native"
26673,"KE","ISO2Alpha","native"
26673,"KM","ISO2Alpha","native"
26673,"LK","ISO2Alpha","native"
26673,"MU","ISO2Alpha","native"
26673,"MV","ISO2Alpha","native"
26673,"MZ","ISO2Alpha","native"
26673,"OM","ISO2Alpha","native"
26673,"RE","ISO2Alpha","native"
26673,"SC","ISO2Alpha","native"
26673,"SO","ISO2Alpha","native"
26673,"TZ","ISO2Alpha","native"
26673,"YE","ISO2Alpha","native"
26673,"ZA","ISO2Alpha","native"
26678,"AU","ISO2Alpha","native"
26678,"EG","ISO2Alpha","native"
26678,"GU","ISO2Alpha","native"
26678,"HK","ISO2Alpha","native"
26678,"ID","ISO2Alpha","native"
26678,"IN","ISO2Alpha","native"
26678,"JO","ISO2Alpha","native"
26678,"JP","ISO2Alpha","native"
26678,"LK","ISO2Alpha","native"
26678,"MU","ISO2Alpha","native"
26678,"MZ","ISO2Alpha","native"
26678,"PG","ISO2Alpha","native"
26678,"PH","ISO2Alpha","native"
26678,"RE","ISO2Alpha","native"
26678,"SC","ISO2Alpha","native"
26678,"SO","ISO2Alpha","native"
26678,"TH","ISO2Alpha","native"
26678,"TW","ISO2Alpha","native"
26678,"VU","ISO2Alpha","native"
26678,"ZA","ISO2Alpha","native"
29523,"AO","ISO2Alpha","native"
29523,"AU","ISO2Alpha","native"
29523,"BB","ISO2Alpha","native"
29523,"BR","ISO2Alpha","native"
29523,"CA","ISO2Alpha","native"
29523,"CL","ISO2Alpha","native"
29523,"CN","ISO2Alpha","native"
29523,"CO","ISO2Alpha","native"
29523,"CR","ISO2Alpha","native"
29523,"EC","ISO2Alpha","native"
29523,"GT","ISO2Alpha","native"
29523,"HN","ISO2Alpha","native"
29523,"IN","ISO2Alpha","native"
29523,"JP","ISO2Alpha","native"
29523,"KM","ISO2Alpha","native"
29523,"KP","ISO2Alpha","native"
29523,"KR","ISO2Alpha","native"
29523,"LK","ISO2Alpha","native"
29523,"MG","ISO2Alpha","native"
29523,"MU","ISO2Alpha","native"
29523,"MX","ISO2Alpha","native"
29523,"MZ","ISO2Alpha","questionable"
29523,"NA","ISO2Alpha","native"
29523,"NC","ISO2Alpha","native"
29523,"NF","ISO2Alpha","native"
29523,"NI","ISO2Alpha","native"
29523,"NZ","ISO2Alpha","native"
29523,"PA","ISO2Alpha","native"
29523,"PE","ISO2Alpha","native"
29523,"PF","ISO2Alpha","native"
29523,"PG","ISO2Alpha","native"
29523,"PH","ISO2Alpha","questionable"
29523,"PN","ISO2Alpha","native"
29523,"RE","ISO2Alpha","native"
29523,"SH","ISO2Alpha","native"
29523,"SV","ISO2Alpha","native"
29523,"TW","ISO2Alpha","native"
29523,"US","ISO2Alpha","native"
29523,"UY","ISO2Alpha","native"
29523,"ZA","ISO2Alpha","native"
58485,"AG","ISO2Alpha","native"
58485,"AI","ISO2Alpha","native"
58485,"AL","ISO2Alpha","native"
58485,"AN","ISO2Alpha","native"
58485,"AO","ISO2Alpha","native"
58485,"AR","ISO2Alpha","native"
58485,"AS","ISO2Alpha","native"
58485,"AU","ISO2Alpha","native"
58485,"AW","ISO2Alpha","native"
58485,"BA","ISO2Alpha","native"
58485,"BB","ISO2Alpha","native"
58485,"BD","ISO2Alpha","native"
58485,"BJ","ISO2Alpha","native"
58485,"BM","ISO2Alpha","native"
58485,"BN","ISO2Alpha","native"
58485,"BR","ISO2Alpha","native"
58485,"BS","ISO2Alpha","native"
58485,"BZ","ISO2Alpha","native"
58485,"CA","ISO2Alpha","native"
58485,"CD","ISO2Alpha","native"
58485,"CG","ISO2Alpha","native"
58485,"CI","ISO2Alpha","native"
58485,"CK","ISO2Alpha","native"
58485,"CL","ISO2Alpha","native"
58485,"CM","ISO2Alpha","native"
58485,"CN","ISO2Alpha","native"
58485,"CO","ISO2Alpha","native"
58485,"CR","ISO2Alpha","native"
58485,"CS","ISO2Alpha","native"
58485,"CU","ISO2Alpha","native"
58485,"CV","ISO2Alpha","native"
58485,"CY","ISO2Alpha","native"
58485,"DJ","ISO2Alpha","native"
58485,"DM","ISO2Alpha","native"
58485,"DO","ISO2Alpha","native"
58485,"DZ","ISO2Alpha","native"
58485,"EC","ISO2Alpha","native"
58485,"EG","ISO2Alpha","native"
58485,"EH","ISO2Alpha","native"
58485,"ER","ISO2Alpha","native"
58485,"ES","ISO2Alpha","native"
58485,"FJ","ISO2Alpha","native"
58485,"FM","ISO2Alpha","native"
58485,"FR","ISO2Alpha","native"
58485,"GA","ISO2Alpha","native"
58485,"GB","ISO2Alpha","native"
58485,"GD","ISO2Alpha","native"
58485,"GF","ISO2Alpha","native"
58485,"GH","ISO2Alpha","native"
58485,"GM","ISO2Alpha","native"
58485,"GN","ISO2Alpha","native"
58485,"GP","ISO2Alpha","native"
58485,"GQ","ISO2Alpha","native"
58485,"GR","ISO2Alpha","native"
58485,"GT","ISO2Alpha","native"
58485,"GU","ISO2Alpha","native"
58485,"GW","ISO2Alpha","native"
58485,"GY","ISO2Alpha","native"
58485,"HK","ISO2Alpha","native"
58485,"HN","ISO2Alpha","native"
58485,"HR","ISO2Alpha","native"
58485,"HT","ISO2Alpha","native"
58485,"ID","ISO2Alpha","native"
58485,"IE","ISO2Alpha","native"
58485,"IL","ISO2Alpha","native"
58485,"IN","ISO2Alpha","native"
58485,"IR","ISO2Alpha","native"
58485,"IT","ISO2Alpha","native"
58485,"JM","ISO2Alpha","native"
58485,"JO","ISO2Alpha","native"
58485,"JP","ISO2Alpha","native"
58485,"KE","ISO2Alpha","native"
58485,"KH","ISO2Alpha","native"
58485,"KI","ISO2Alpha","native"
58485,"KM","ISO2Alpha","native"
58485,"KN","ISO2Alpha","native"
58485,"KP","ISO2Alpha","native"
58485,"KR","ISO2Alpha","native"
58485,"KY","ISO2Alpha","native"
58485,"LB","ISO2Alpha","native"
58485,"LC","ISO2Alpha","native"
58485,"LK","ISO2Alpha","native"
58485,"LR","ISO2Alpha","native"
58485,"LY","ISO2Alpha","native"
58485,"MA","ISO2Alpha","native"
58485,"MC","ISO2Alpha","native"
58485,"MG","ISO2Alpha","native"
58485,"MH","ISO2Alpha","native"
58485,"MM","ISO2Alpha","native"
58485,"MO","ISO2Alpha","native"
58485,"MP","ISO2Alpha","native"
58485,"MQ","ISO2Alpha","native"
58485,"MR","ISO2Alpha","native"
58485,"MS","ISO2Alpha","native"
58485,"MT","ISO2Alpha","native"
58485,"MU","ISO2Alpha","native"
58485,"MV","ISO2Alpha","native"
58485,"MX","ISO2Alpha","native"
58485,"MY","ISO2Alpha","native"
58485,"MZ","ISO2Alpha","native"
58485,"NA","ISO2Alpha","native"
58485,"NC","ISO2Alpha","native"
58485,"NF","ISO2Alpha","native"
58485,"NG","ISO2Alpha","native"
58485,"NI","ISO2Alpha","native"
58485,"NO","ISO2Alpha","native"
58485,"NR","ISO2Alpha","native"
58485,"NU","ISO2Alpha","native"
58485,"NZ","ISO2Alpha","native"
58485,"OM","ISO2Alpha","native"
58485,"PA","ISO2Alpha","native"
58485,"PE","ISO2Alpha","native"
58485,"PF","ISO2Alpha","native"
58485,"PG","ISO2Alpha","native"
58485,"PH","ISO2Alpha","native"
58485,"PK","ISO2Alpha","native"
58485,"PR","ISO2Alpha","native"
58485,"PT","ISO2Alpha","native"
58485,"PW","ISO2Alpha","native"
58485,"RE","ISO2Alpha","native"
58485,"RU","ISO2Alpha","native"
58485,"SA","ISO2Alpha","native"
58485,"SB","ISO2Alpha","native"
58485,"SC","ISO2Alpha","native"
58485,"SD","ISO2Alpha","native"
58485,"SG","ISO2Alpha","native"
58485,"SH","ISO2Alpha","native"
58485,"SI","ISO2Alpha","native"
58485,"SL","ISO2Alpha","native"
58485,"SN","ISO2Alpha","native"
58485,"SO","ISO2Alpha","native"
58485,"SR","ISO2Alpha","native"
58485,"ST","ISO2Alpha","native"
58485,"SV","ISO2Alpha","native"
58485,"SY","ISO2Alpha","native"
58485,"TC","ISO2Alpha","native"
58485,"TG","ISO2Alpha","native"
58485,"TH","ISO2Alpha","native"
58485,"TK","ISO2Alpha","native"
58485,"TN","ISO2Alpha","native"
58485,"TO","ISO2Alpha","native"
58485,"TR","ISO2Alpha","native"
58485,"TT","ISO2Alpha","native"
58485,"TV","ISO2Alpha","native"
58485,"TW","ISO2Alpha","native"
58485,"TZ","ISO2Alpha","native"
58485,"US","ISO2Alpha","native"
58485,"UY","ISO2Alpha","native"
58485,"VC","ISO2Alpha","native"
58485,"VE","ISO2Alpha","native"
58485,"VG","ISO2Alpha","native"
58485,"VI","ISO2Alpha","native"
58485,"VN","ISO2Alpha","native"
58485,"VU","ISO2Alpha","native"
58485,"WF","ISO2Alpha","native"
58485,"WS","ISO2Alpha","native"
58485,"YE","ISO2Alpha","native"
58485,"ZA","ISO2Alpha","native"
112090,"BR","ISO2Alpha","native"
112093,"PE","ISO2Alpha","native"
112094,"GF","ISO2Alpha","native"
112095,"BR","ISO2Alpha","native"
112096,"PE","ISO2Alpha","native"
149118,"AS","ISO2Alpha","native"
149118,"AU","ISO2Alpha","native"
149118,"CK","ISO2Alpha","native"
149118,"EG","ISO2Alpha","native"
149118,"FJ","ISO2Alpha","native"
149118,"FM","ISO2Alpha","native"
149118,"ID","ISO2Alpha","native"
149118,"IN","ISO2Alpha","native"
149118,"JO","ISO2Alpha","native"
149118,"JP","ISO2Alpha","native"
149118,"KE","ISO2Alpha","native"
149118,"LK","ISO2Alpha","native"
149118,"MH","ISO2Alpha","native"
149118,"MU","ISO2Alpha","native"
149118,"MV","ISO2Alpha","native"
149118,"MY","ISO2Alpha","native"
149118,"MZ","ISO2Alpha","native"
149118,"NC","ISO2Alpha","native"
149118,"PG","ISO2Alpha","native"
149118,"PH","ISO2Alpha","native"
149118,"PW","ISO2Alpha","native"
149118,"RE","ISO2Alpha","native"
149118,"SC","ISO2Alpha","native"
149118,"SO","ISO2Alpha","native"
149118,"TH","ISO2Alpha","native"
149118,"TO","ISO2Alpha","native"
149118,"TW","ISO2Alpha","native"
149118,"TZ","ISO2Alpha","native"
149118,"VN","ISO2Alpha","native"
149118,"WF","ISO2Alpha","native"
149118,"WS","ISO2Alpha","native"
149118,"ZA","ISO2Alpha","native"
21628,"Western Atlantic:  North Carolina, USA to Brazil (Ref. 7251), including the Bahamas, Gulf of Mexico, and Caribbean Sea.","Text",
26682,"Southeast Atlantic:  known only from Ascension and St. Helena Islands.","Text",
26682,"SH","ISO2Alpha","native"
21628,"CU","ISO2Alpha","native"
21628,"VG","ISO2Alpha","native"
21628,"DM","ISO2Alpha","native"
21628,"CR","ISO2Alpha","native"
21628,"DO","ISO2Alpha","native"
21628,"CO","ISO2Alpha","native"
21628,"BZ","ISO2Alpha","native"
21628,"BR","ISO2Alpha","native"
21628,"BB","ISO2Alpha","native"
21628,"BS","ISO2Alpha","native"
21628,"AU","ISO2Alpha","native"
21628,"GF","ISO2Alpha","native"
21628,"AG","ISO2Alpha","native"
21628,"NI","ISO2Alpha","native"
21628,"HT","ISO2Alpha","native"
21628,"HN","ISO2Alpha","native"
21628,"JM","ISO2Alpha","native"
21628,"GY","ISO2Alpha","native"
21628,"MX","ISO2Alpha","native"
21628,"NZ","ISO2Alpha","native"
21628,"ID","ISO2Alpha","questionable"
21628,"PA","ISO2Alpha","native"
21628,"PR","ISO2Alpha","native"
21628,"KN","ISO2Alpha","native"
21628,"US","ISO2Alpha","native"
21628,"AW","ISO2Alpha","native"
21628,"LC","ISO2Alpha","native"
21628,"VE","ISO2Alpha","native"
21628,"TT","ISO2Alpha","native"
21628,"SR","ISO2Alpha","native"
21628,"VC","ISO2Alpha","native"
21628,"GT","ISO2Alpha","native"
